document_id,fuente,titulo_oficial,archivo_referencia,emisor_id,emisor_nombre,tipo_documento,dominios_documentales,jurisdiccion,fecha_documento,chunks,paginas,evidencia_extracto,evidencia_por_dominio,url_origen,estado_inclusion,decision_humana,emisor_id_corregido,emisor_nombre_corregido,tipo_documento_corregido,dominios_documentales_corregidos,observaciones
DOC-0001,Decreto_1398_1992_Reglamentario_Electrico,Decreto 1398/1992 — Reglamentación de las Leyes 24.065 y 15.336,Decreto_1398_1992_Reglamentario_Electrico.pdf,EMI-0001,Poder Ejecutivo Nacional,decreto,legal|impositivo|regulatorio,argentina_nacional,1992-08-06,33,1–21,"[bf432d4eb346… p.1] DecretoReglamentario de la Ley 24065 y la Ley 15336 sobre el Régimen de la Energia Electrica — «DECRETONACIONAL1.398/1992 BUENOSAIRES,6deAgostode1992 Boletin Oficial, 1l de Agosto de 1992 Vigente, de alcance general Id SAIJ: DN19920001398 TEMA de energia eléctrica, transporte de energia eléctrica, generacion de energia eléctrica, centrales hidroeléctricas, energia térmica, despacho nacional de cargas, Sistema Elé…»","legal: sin coincidencia literal en el documento
impositivo: sin coincidencia literal en el documento
regulatorio: 1 chunk(s); p.ej. p.19 [3d3ae6b01660…]",,pendiente_revision,,,,,,
DOC-0002,Decreto_1738_1992_Reglamentario_Gas,Decreto 1738/1992 — Reglamentación de la Ley 24.076,Decreto_1738_1992_Reglamentario_Gas.pdf,EMI-0001,Poder Ejecutivo Nacional,decreto,legal|regulatorio,argentina_nacional,1992-09-18,50,1–34,"[e4a3f5ffcaa8… p.1] CONSIDERANDO: — «Que resulta necesario reglamentar los preceptos contenidos en dicha ley a los fines de su inmediata aplicación y de su conocimiento por los interesados en participar en el proceso de privatización de Gas del Estado Sociedad del Estado . Que los intereses económicos , sociales y ambientales de la Nación y sus habitantes…»","legal: 4 chunk(s); p.ej. p.3 [470937588841…]
regulatorio: 3 chunk(s); p.ej. p.2 [085e0ca81c71…]",,pendiente_revision,,,,,,
DOC-0003,Decreto_821_1998_TO_Ley_11683,Decreto 821/1998 — Texto ordenado de la Ley 11.683,Decreto_821_1998_TO_Ley_11683.pdf,EMI-0001,Poder Ejecutivo Nacional,texto_ordenado,impositivo,argentina_nacional,1998-07-13,249,1–98,"[1a80b1827bf6… p.1] Ver Antecedentes Normativos — «VISTO la Ley Nº 11.683, texto ordenado en 1978, y sus modificaciones, y CONSIDERANDO: Que resulta necesario aprobar el texto ordenado de las normas aludidas, a fin de facilitar su consulta y evitar confusiones en su aplicación. Que ha tomado la intervención que le compete la DIRECCION GENERAL DE ASUNTOS JURIDICOS del M…»",impositivo: 8 chunk(s); p.ej. p.8 [f3b06e0619ae…],,pendiente_revision,,,,,,
DOC-0004,Edenor_EEFF_Consolidado_2025_09,Estados financieros consolidados condensados intermedios al 30 de septiembre de 2025,Edenor_EEFF_Consolidado_2025_09.pdf,EMI-0002,Empresa Distribuidora y Comercializadora Norte S.A.,estado_contable,contable|regulatorio,no_aplica,2025-09-30,175,2–49,"[86cd307544f9… p.2] Índice — «Deudas comerciales ................................ ................................ ................................ ................. Nota 22 | Nota 23 |, 2 = 34. , 1 = Otras deudas ................................ ................................ ................................ ............................ , 2 = 34…»","contable: 12 chunk(s); p.ej. p.2 [d7bcca9349e8…]
regulatorio: 8 chunk(s); p.ej. p.2 [d7bcca9349e8…]",,pendiente_revision,,,,,,
DOC-0005,EEFF-ind-31-03-2019,Estados financieros individuales condensados intermedios al 31 de marzo de 2019,EEFF-ind-31-03-2019.pdf,EMI-0003,Compañía de Transporte de Energía Eléctrica en Alta Tensión Transener S.A.,estado_contable,contable|regulatorio,no_aplica,2019-03-31,134,1–40,[ebb885242b25… p.1] «COMPAÑIA DE TRANSPORTE DE ENERGIA ELECTRICA EN ALTA TENSION TRANSENER S.A. ESTADOS FINANCIEROS INDIVIDUALES CONDENSADOS INTERMEDIOS AL 31 DE MARZO DE 2019 Y POR LOS PERIODOS DE TRES MESES FINALIZADOS EL 31 DE MARZO DE 2019 Y 2018…»,"contable: 18 chunk(s); p.ej. p.8 [ebab606c57e0…]
regulatorio: 2 chunk(s); p.ej. p.24 [4c4e3c0039e4…]",,pendiente_revision,,,,,,
DOC-0006,ENRE_Resolucion_544_2024,Resolución ENRE 544/2024 — Programa para la Mejora del Factor de Potencia,ENRE_Resolucion_544_2024.pdf,EMI-0004,Ente Nacional Regulador de la Electricidad,resolucion,legal|regulatorio|tecnico,argentina_nacional,2024-08-15,11,1–6,"[60666766e935… p.1] CONSIDERANDO: — «Que la Resolución del ENTE NACIONAL REGULADOR DE LA ELECTRICIDAD (ENRE) Nº 85 de fecha 2 de febrero de 2024 estableció el Programa para la Mejora del Factor de Potencia, que como iniciativa propende a la utilización eficiente de la energía eléctrica y las instalaciones de distribución, en las áreas de concesión de la E…»","legal: sin coincidencia literal en el documento
regulatorio: sin coincidencia literal en el documento
tecnico: 1 chunk(s); p.ej. p.3 [ecc55ee6c040…]",,pendiente_revision,,,,,,
DOC-0007,Estados_Contables_Neuquen,"Estados financieros, reseña informativa e información adicional al 31 de diciembre de 2014",Estados_Contables_Neuquen.pdf,EMI-0005,Gas y Petróleo del Neuquén S.A.,estado_contable,contable|corporativo|regulatorio,no_aplica,2014-12-31,647,3–202,[57cfe5622423… p.3] «ei································· o Ir Buildin j a better working work( · · · · · · · · · · · · · · 411 · · · · · · · · 11 · · O ··· · · · · ·…»,"contable: 90 chunk(s); p.ej. p.14 [65af2a7a3fa0…]
corporativo: sin coincidencia literal en el documento
regulatorio: 4 chunk(s); p.ej. p.33 [16d4fcce78ea…]",,pendiente_revision,,,,,,
DOC-0008,FS-31-03-2019,"Unaudited condensed consolidated financial statements as of March 31, 2019",FS-31-03-2019.pdf,EMI-0003,Compañía de Transporte de Energía Eléctrica en Alta Tensión Transener S.A.,estado_contable,contable|regulatorio,no_aplica,2019-03-31,109,1–31,"[46d110127982… p.1] Compañía de Transporte de Energía Eléctrica en Alta Tensión Transener S.A. — «Unaudited Condensed Consolidated Financial Statements as of March 31, 2019 and for the three -month period ended March 31, 2019 and 2018 Free translation from the original prepared in Spanish for publication in Argentina…»","contable: 1 chunk(s); p.ej. p.16 [a30a9f5f6a70…]
regulatorio: sin coincidencia literal en el documento",,pendiente_revision,,,,,,
DOC-0009,Ley_11683_Procedimiento_Fiscal_TO,Ley 11.683 — Procedimiento Fiscal,Ley_11683_Procedimiento_Fiscal_TO.pdf,EMI-0006,Honorable Congreso de la Nación Argentina,texto_ordenado,impositivo,argentina_nacional,1932-12-30,259,1–146,"[6e3336197de4… p.1] Publicada en el Boletín Oficial: — «Número: 12 -01 -1933 (/normativa/buscar -boletin?s=1&fecha _ publicacion=12-01-1933)11586 (/normativa acion=12-01-1933)11586 (/normativa/buscar -boletin?s=1&numero _ boletin Texto actualizado de la norma Decreto 821/98 Apruébase el texto ordenado de la Ley N ° 11 . 683 , texto ordenado en 1978 y sus modificaciones . Bs…»",impositivo: 8 chunk(s); p.ej. p.13 [b24cb5235192…],,pendiente_revision,,,,,,
DOC-0010,Ley_20628_Impuesto_Ganancias_TO,Ley 20.628 — Impuesto a las Ganancias,Ley_20628_Impuesto_Ganancias_TO.pdf,EMI-0006,Honorable Congreso de la Nación Argentina,texto_ordenado,impositivo,argentina_nacional,1973-12-27,258,1–94,"[448b350323af… p.1] SUJETO Y OBJETO DEL IMPUESTO — «- Art. 2° -A los efectos de esta ley son ganancias, sin perjuicio de lo dispuesto especialmente en cada categoría y aun cuando no se indiquen en ellas: - 1) los rendimientos, rentas o enriquecimientos susceptibles de una periodicidad que implique la permanencia de la fuente que los produce y su habilitación. - 2) los r…»",impositivo: 52 chunk(s); p.ej. p.2 [bbe70a2fe384…],,pendiente_revision,,,,,,
